text,commit message for
[FIXED HUDSON-4245] Fixed a bug in the tabular display of a matrix. Will be in 1.323.,bug fixing
remove duplicate code plus small optimisation findbugs,commits that belong to no category
Oracle snapshot unique constraint performance improvements and better multi-schema support,improving non-functional requirements
"Improved support for concurrent testing in PerformanceTest. Also more fiddling measuring performance metrics for DateService, without getting any reliable results",improving non-functional requirements
Added transform.feature and TransformSteps,adding new features
revised links approach for deltacloud so that we can determine which features a collection supports,adding new features
"bug 5147: Improvements after testing the storage maintenance across multiple sp's, with sys vms scattered across multiple sps",improving non-functional requirements
Update featured app icons.,adding new features
Moved the check-style.xml into the tools directory given that we're not using the project to reference the style any longer.  Fixed problems with eclipse complaining about copy-dependencies,bug fixing
CLOUDSTACK-9299: Fix test failures on CI,bug fixing
Merge pull request #700 from pveentjer/improvement/3-maintenance/memory-monitor,improving non-functional requirements
"Set available processors for Netty

Netty uses the number of processors for sizing various resources (e.g.,
thread pools, buffer pools, etc.). However, it uses the runtime number
of available processors which might not match the configured number of
processors as set in Elasticsearch to limit the number of threads (for
example, in Docker containers). A new feature was added to Netty that
enables configuring the number of processors Netty should see for sizing
this various resources. This commit takes advantage of this feature to
set this number of available processors to be equal to the configured
number of processors set in Elasticsearch.

Relates #24420",adding new features
attempting to improve performance,improving non-functional requirements
[TACHYON-1043] Fix a bug in IsolatedTachyonFileSystemIntegrationTest,bug fixing
HBASE-3610 : Improve RegionSplitter performance,improving non-functional requirements
StaticRoleBasedAPIAccessChecker: Fix acl cfg processing error messages,bug fixing
new UI - resources page - fix a bug that StartVM/StopVM/RebootVM/DestroyVM button didn't disappear when clicking instance page then clicking zone/pod/systemVM/cluster node in left navigation.,bug fixing
"Add highlighting support for suggester.

This commit adds general highlighting support to the suggest feature.
The only implementation that implements this functionality at this
point is the phrase suggester.
The API supports a 'pre_tag' and a 'post_tag' that are used
to wrap suggested parts of the given user input changed by the
suggester.

Closes #3442",adding new features
maven: Remove duplicate cloud-core dependency in server,commits that belong to no category
AVRO-1282. Java: Use sun.misc.Unsafe to improve Reflect API Performance.,improving non-functional requirements
"Alphebetical order for keys, remove one duplicate key",commits that belong to no category
[FIXED JENKINS-30569] HistoryWidget: fix JS syntax error,bug fixing
[SMALLFIX] fixed some problems for adding javadoc for FileSystemRenameIntegrationTest.java,bug fixing
Duplicate conditional and body in VirtualSystemSettingDataHandler.java,commits that belong to no category
improved performance tests,improving non-functional requirements
Improve testability and coverage by UTs,improving non-functional requirements
#2158 Add a completion-aware feature to handle a group of multiple writes overe AtmosphereResponse,adding new features
HBASE-4272. Add -metaonly flag to hbck feature to only inspect and try to repair META and ROOT.,adding new features
Improved again performance of OGraphDatabase,improving non-functional requirements
Added a small benchmark test with a small performance improvement,improving non-functional requirements
CLOUDSTACK-6856 : Fixed few data corruption and retries issues for failing cases,bug fixing
"added GC calls, which improves the performance a bit.",improving non-functional requirements
"Invalid UI - VPC - site-to-site VPN - VPN fails - fix a JS error ""elems is undefined"" when clicking Create VPN Connection.",bug fixing
"BZ1158818 Add ""reminder"" feature",adding new features
#1462 - Implement functionality to process Product batches for improved Solr indexing performance,improving non-functional requirements
CLOUDSTACK-6789: UI > User page > fix a bug that a domain-admin was unable to delete other domain-admin in the same domain.,bug fixing
CORE-2985 MSSQL Snapshot performance improvements,improving non-functional requirements
Performance improvement to WeldResourceLoader,improving non-functional requirements
Bumping next version b/c of new feature.,adding new features
Rename some classe. Smell code. Classes must not starting with lowercase.,commits that belong to no category
"new UI - Snapshot page - fix a bug that JS error ""$midmenuItem1 is null or not an object "", ""jsonObj is null or not an object"" when switching between tabs on an empty page.",bug fixing
Optimize memory management and performance for graph rendering in Studio,improving non-functional requirements
new UI - volume page - fix a bug that device ID column doesn't get refreshed correctly when clicking between different volumes.,bug fixing
Improved performance on indexing.,improving non-functional requirements
Improve readability of Jenkins.getTarget(),improving non-functional requirements
Enhance VR performance by selectively executing tasks instead of brute-forcing,improving non-functional requirements
"[TACHYON-1092] Fix failing tests, ufs address was set twice differently",bug fixing
adding a test case and fixed off-by-one bug,bug fixing
deprecate getClusterName. It's a duplicate of describeClusterName,commits that belong to no category
[ALLUXIO-2743] Fix failing tests,bug fixing
bug 14110: Fix error message,bug fixing
"Remove emulated IOException, use GWT's emulation. Fix #4007",bug fixing
HBASE-11452 add getUserPermission feature in AccessControlClient as client API (Demai Ni),adding new features
Updated async executor documentation. Improved readability and corrected typos.,improving non-functional requirements
CLOUDSTACK-7000: Fix bugs in ListSnapshotPolicy and updateSnapshotPolicy command,bug fixing
optimized for encode performance,improving non-functional requirements
[ALLUXIO-2047] Fix failed tests,bug fixing
SONAR-3537 Improve performances of the treemap filter,improving non-functional requirements
[FIXED JENKINS-10036] Fix jelly to groovy conversion error in Ant config.,bug fixing
"Fixed most of synchronization problems with topics/queues, improved performance and increase concurrency (no more thread pool!), supported hot-cfg of servers in configuration file, always use node name rather than id",improving non-functional requirements
SONAR-5820 Improve performance,improving non-functional requirements
"CLOUDSTACK-5492: UI > Routers > Group by zone/pod/cluster/account > (1) fix a bug that requiresUpgrade wrongly showed""No"" when it should show ""Yes"".",bug fixing
Initial work on client performance improvement fix,improving non-functional requirements
"IP Address page - fix a bug ""networkObj.service[6].capability is undefined""",bug fixing
1) Fix build problem caused by alex's Refactoring,bug fixing
"major integration testing work, improvements in Spring wiring, other improvements",improving non-functional requirements
CORE-2528 Oracle: improve unique constraint snapshot query performance,improving non-functional requirements
Improve re-usability of createIndex() method in Indices,improving non-functional requirements
Improve file hashing performance,improving non-functional requirements
"Made logger static to improve performance. Fixed logger name, back port #749",improving non-functional requirements
add apache taglibs as dependency of feature-pack,adding new features
[SMALLFIX] Fixed build error,bug fixing
Modified pull421 to fix failed unit tests.xs,bug fixing
Big rename and more pointcut features in UI,adding new features
CLOUDSTACK-3715. Fix import error.,bug fixing
Unsafe byte array comparator performance was improved,improving non-functional requirements
merged duplicate code branches,commits that belong to no category
[TACHYON-1675] Fix a ssh problem when deploying EC2 with Vagrant .,bug fixing
"Performance improvement as suggested by md_5, thanks.",improving non-functional requirements
Remove LDAP feature support,adding new features
bug 12571: fixed error message in createSnapshotPolicy,bug fixing
improved ParameterizedOutputVisitorUtils performance.,improving non-functional requirements
"cli: fix autocompletion binding bug, make all params lowercase",bug fixing
made BellyStepdefs sideffect-free so that they don't need @Dirty annotation and do not clash with dirtyCukes.feature,adding new features
"Remove slow, mostly unuseful feature",adding new features
Correct documentation for loadufs and fix bug when loading local underfs.,bug fixing
ISPN-1015 - Optimize HotRod client to match Memcached performance,improving non-functional requirements
improve contact loading and display performance,improving non-functional requirements
Added unsupported features for C# Client doc.,adding new features
CLOUDSTACK-6810: Fix storage migration of a vm with volume on local was failing. When a plan,bug fixing
Improved WebDriver example that shows how to reuse a driver for the entire JVM. Another case against #295,improving non-functional requirements
Shift initial initialization to AsyncPlayerPreLoginEvent. May improve performance on login,improving non-functional requirements
Remove duplicate Nullable import,commits that belong to no category
[FIXED JENKINS-9637] Fixed the 404 when clicking the testResult on the Project Page when there is only an aggregated test result for a freestyle job. The name of the link is still wrong.,bug fixing
YARN-6682. Improve performance of AssignmentInformation datastructures. Contributed by Daryn Sharp.,improving non-functional requirements
"cloudStack - Elastic Load Balancer - fix a server-side bug ""unhandled exception executing api command: listLoadBalancerRules""",bug fixing
[SMALLFIX] Removed duplicate JUnit dependency,commits that belong to no category
"new UI - instance page - change service action - fix a bug that the dropdown is blank first, then populated with value.",bug fixing
"List:  added ability to select 'nothing', and ability to disable item selection (+ bug/defect fix)",bug fixing
[FIXED HUDSON-1261] Bundling the patched activation.jar that fixes the ClassCastException problem.,bug fixing
"This is a quick fix to attempt to resolve most of the travis failures Most of the failures have been due to transient network failures, that are causing dependency artifact downloads to fail Maven does not have a way to retry this without restarting the
 whole build, so the mvn dependency plugin is the best bet Unfortunately, running a dependency:resolve on the project returns yet to be compiled dependencies, and causes it to fail... There is an option to excludeGroupIds and excludeArtifactIds in the
 docs for this goal, but unfortunately they don't seem to work This drafts a dummy pom in a quick and dirty way, just to download all the deps in one go, while retrying for RETRY_COUNT times if it fails",bug fixing
Improved performance on query against not-unique indexes,improving non-functional requirements
bug 5482: Fixed malformed JSON when an error is returned by the API call.  Also fixed the UI to make use of the new JSON object.,bug fixing
SONAR-1928 Improve performances by splitting the SQL query in 2,improving non-functional requirements
Added ObjectAL hack for fixing audio problems that happen sometimes.,bug fixing
CLOUDSTACK-8344: Fixed SSH failures in test_haproxy.py test suite,bug fixing
Improved minimap performance dealing with large files.,improving non-functional requirements
Minor performance improvements to HybridBinarizer (#762),improving non-functional requirements
"bump to lucene 3.2 and use new feature to return numeric fields as numbers, not strings.",adding new features
"Cache result of hash code to enhance performance,",improving non-functional requirements
[PHP] Fix #5338: InvalidArgumentException (#6685),bug fixing
Comment about folder suffix and fix style error,bug fixing
cloudStack 3.0 new UI - zone chart - public network - IP range tab - fix a bug that VLAN value didn't show.,bug fixing
"added missing apiresponse.go, renamed petapi_test.go, fixed compilation error",bug fixing
JBRULES-1915: Improve process persistence usability,improving non-functional requirements
"new UI - host page - fix a bug ""id is not found"" when clicking Add Host button.",bug fixing
Removed 'BugId' tag from tests for fixed bugs,bug fixing
Remove LDAP and Validation objects - (removing these features),adding new features
get rid of duplicate lines,commits that belong to no category
ACT-4177 : Secure scripting feature : support for execution- and tasklisteners with secure scripting,adding new features
"Closes #2798, ShaderProgram#setUniform supposed to throw an exception in case the program isn't bound. However, this may have side effects in existing code and add additional runtime overhead. Fixed the Javadocs to say that the program must be bound instead.",bug fixing
Improved MVRB-Tree search algorithm by reusing last search. This is really useful on indexing because the put() reuses the entry node found by the previous search.,improving non-functional requirements
Since this is a feature it has been moved to the titan0.1 branch.,adding new features
[UI] fix bug: Cannot delete SSH keypairs in projects,bug fixing
"clean up ruby sample, remove commented code, bug fix",bug fixing
Improves performance of PartitionView.getReplicaAddress,improving non-functional requirements
[Objc] Remove interface method duplicate,commits that belong to no category
"new Advanced Search - fix a bug that advanced search dialog didn't appear when clicking the same type of submenu (e.g. ""my accounts"", ""all accounts"").",bug fixing
"Made 'unique statements' behavior the default in GraphSail, as reasoners are less efficient without that feature.",adding new features
"Small tweaks to streamline performance and code, and changed row search pattern to search more broadly more quickly, which seems to slightly improve decode performance",improving non-functional requirements
"While debugging the subversion plugin, I discovered that hpl file can be ignored by the bundled hpi file. Fixed that problem.",bug fixing
"Added help button and help file for OpenOffice integration. Started adapting the help file from the plugin web page, to fit the new integrated feature.",adding new features
bug 7822: fixing the storage maintenance failures centered around domr stop/start,bug fixing
Revert: performance improvements,improving non-functional requirements
HIVE-756. Performance improvement for RCFile and ColumnarSerDe in Hive. (Ning Zhang via zshao),improving non-functional requirements
[ALLUXIO-2426] Fix failing tests,bug fixing
SONAR-3825 improve performance of SQL request,improving non-functional requirements
Finish testing CassandraClientPoolStoreImpl and improved JMX,improving non-functional requirements
[WFLY-6201] Add the other-server-group configuration to the servlet-feature-pack template.,adding new features
new UI - fix a bug - clicking IP address on left menu didn't work.,bug fixing
"Re-name and slightly restructure much of the processor code, so that it is more obious what the pieces are. This is intended to improve future maintenance.",improving non-functional requirements
Improve node buffer utilization readability,improving non-functional requirements
Sonar Channel : Slightly improve the readability of the source code in charge to increment the line number,improving non-functional requirements
removed GraphJungLoader/Helper work as it will not be a feature.,adding new features
Misc. fixes for error handling:,bug fixing
[ALLUXIO-2691] Fix failing tests,bug fixing
update code. Finished Towny implimentation,adding new features
Fix CLOUDSTACK-936: fix nonoss build due to CloudException IdentityProxy,bug fixing
Distributed: improved performance in case of tx and commands,improving non-functional requirements
"[HUDSON-5827, HUDSON-5756] This approach fixes both bugs in one fell swoop",bug fixing
Improved performance on iteration,improving non-functional requirements
bug 10737: Fix java.nio.BufferOverflowException in decompression,bug fixing
CLOUDSTACK-6316: Fixed component and smoke test failures for wrong references,bug fixing
- CLOUDSTACK-3229: Fixes a syntax error in s3xen,bug fixing
improved beanToArray performance.,improving non-functional requirements
"not sure if this is needed, but it might help fix the bug that I'm seeing.",bug fixing
Removed duplicated $BIN under bin/tachyon-mount.sh and placed $BIN variable on sudo elevation,commits that belong to no category
Improved mmap management when the buffer pool is full. Now performance with millions of writes and random searches are really good. Further work on this in the next days.,improving non-functional requirements
"Make `index` in TermsLookup mandatory (#25753)

This change removes the leniency of having a `null` index to fetch
terms from in 6.0 onwards. This feature will be deprecated in the 5.x series
and 6.0 nodes will require the index to be set.

Closes #25750",adding new features
#4532 AL_DIRECT_CHANNELS_SOFT fixes narrow stereo channel problem with music,bug fixing
"improved performance on vertex/edge type check, issue #4105",improving non-functional requirements
HBASE-1276 Part of '[testing] Upgrade to JUnit 4.x and use @BeforeClass annotations to optimize tests',improving non-functional requirements
CLOUDSTACK-6316: fixes for bvt failures,bug fixing
CLOUDSTACK-9789: Fix releasing secondary guest IP fails with associated static nat which is actually not used,bug fixing
Make more of cucumber-features pass. Rename Table to DataTable. #45.,adding new features
CLOUDSTACK-6893: fix enum ValueOf issue which causes systemvm fail to start,bug fixing
"set default gateway always on eth2, to fix the bug that system vm is not pingable, if public network and",bug fixing
Merge pull request #416 from jmxtrans/improve-testing-of-cloudwatch-writer,improving non-functional requirements
"Timestamp is now automatically updated on a change of an entry (feature 799).
 * Field update notification is now also localized",adding new features
Remove duplicate tests for stopped_vm,commits that belong to no category
Demonstrate Spring 3.2 features,adding new features
Remove duplicate code by using RECURSIVE_OPTION. Fix minor formatting.,commits that belong to no category
Performance improvement: save all colums per table instead of re-querying for each column,improving non-functional requirements
improved performance limiting the read and write on queues and,improving non-functional requirements
"MAHOUT-767 Improve RowSimilarityJob performance, fixed typos",improving non-functional requirements
HBASE-16270 Handle duplicate clearing of snapshot in region replicas (Robert Yokota),commits that belong to no category
[ALLUXIO-2743] Fix failing tests,bug fixing
Added StoreFeatures option supportsMultiQuery so that backends can indicate whether they can efficiently execute (i.e. bundle) multiQueries.,adding new features
CLOUDSTACK-10053: Performance improvement: caching of NuageVsp ID,improving non-functional requirements
"new UI - list instance of load balancer rule - fix a bug (""privateip is not found"") caused by API refactor.",bug fixing
adding web & full feature packs and server provisioning,adding new features
"YARN-4360. Improve GreedyReservationAgent to support ""early"" allocations, and performance improvements (curino via asuresh)",improving non-functional requirements
bug 10866: Putting additional unique indexs on firewall_rules_cidrs to prevent duplicate rules.,commits that belong to no category
Improve readability of closing protocol and websocket message,improving non-functional requirements
"new UI - volume page - fix a bug ""object is not found"" when creating volume fails.",bug fixing
CLOUDSTACK-274: fix duplicate error code.,bug fixing
Improved readability of code for IMap.values() and IMap.values(Predicate) for Hazelcast members. Removed warnings in MapPredicateTest.java,improving non-functional requirements
added feature which allows to quickfilter and define streamrules with a,adding new features
CLOUDSTACK-5449: fix the log creation failure case and added an option,bug fixing
"volume-upload: UI > dialog widget - args.form.fileUpload.postUpload - fix a bug that loading image (spinning wheel, freezing screen) does not disappear after action succeeds/fails.",bug fixing
[FIXED HUDSON-1815] Fixed NumberFormatException for variants where the build number was non-numeric,bug fixing
Fix for #610 [websocket] WebSocket class must be re-written to support AtmosphereInterceptorWriter. Also refactored WebSocket support to avoid duplicated code all over the place,commits that belong to no category
Added Back Pressure to the New Features section.,adding new features
removed call to duplicate from within stringSerializer to match behaviour given the rest of the serializers,commits that belong to no category
[ALLUXIO-1895] Fix failing unit tests InodeDirectoryTest.permissionStatusTest,bug fixing
CLOUDSTACK-6805: UI > create account > fix a bug that account creation failed when password contains # character.,bug fixing
CLOUDSTACK-7897 : Fixed the script test_reset_ssh_keypair.py - Test Cases failing on Simulator as Testcases try to ssh to the VMs,bug fixing
"[FIXED HUDSON-5267] in 1.342. I also gave you a commit access, so that we won't be blocking you for bug fixes like this.",bug fixing
"Improvement to push-to-vim feature, courtesy of Stephan Rave",adding new features
interface for deleting duplicates,commits that belong to no category
Improve performance of jacoco on sonar-server,improving non-functional requirements
Brought up to date with 4.4 features,adding new features
Improved performance to retrieve fields from documents,improving non-functional requirements
Remove duplicated javadoc param in lineage.,commits that belong to no category
gdx-box2d: removed duplicate fixture.setUserData,commits that belong to no category
CLOUDSTACK-9565: Fix intermittent failure in test_oobm_zchange_password,bug fixing
Add feature to list all the pinned files,adding new features
WELD-864 minor performance improvement,improving non-functional requirements
[FIXED HUDSON-5210] fixed this problem in Hudson that doesn't require any configuration change in Jetty.,bug fixing
Improved performance on browsing of collection while fetching. Reported by Fabrizio Fortino in ML,improving non-functional requirements
new UI - load balancer page - fix a bug that new template was attched to wrong grid.,bug fixing
CORE-2371 Improve Oracle snapshot performance,improving non-functional requirements
Windows path problem fixed (again) - #268 #269,bug fixing
Going back to Ant 1.6.5 to fix the problem reported in,bug fixing
feature for saving complexobs data while saving encounter,adding new features
depends on stapler 1.26 for features that take advantage of Java5,adding new features
Major part to make this feature happen,adding new features
"CLOUDSTACK-5762: VM wizard, custom compute offering: Fix error label",bug fixing
added a stacktraceLayout and improved testing of stacktrace message lines,improving non-functional requirements
ROO-410: Improve readability of message resources managed by Roo,improving non-functional requirements
avoid getting jelly/jexl duplicates,commits that belong to no category
bug 13540: Fix release ip fail to clean up iptables rules,bug fixing
"Revert ""CLOUDSTACK-7762 -[Automation] - Fix test failure for test_02_revert_vm_snapshots in smoke/test_vm_snapshots.py""",bug fixing
Add enablement feature for save actions,adding new features
"Added some debugging features to the M3 Android client. You can now press 'C' to capture a photo, 'U' to decode only UPC/1D barcodes, and 'Q' to decode only QR Codes.",adding new features
get indy working again. looks like performance has improved since jdk 7u4.,improving non-functional requirements
regen test code for petstore csharp and fix test errors,bug fixing
[TACHYON-1463] Fix a failing unit tests,bug fixing
"Add feature ""allowing user to control the order of fields in saved
database"".",adding new features
HBASE-13863 Multi-wal feature breaks reported number and size of HLogs (Abhilash),adding new features
"Performance tuning, improve workaround for bukkit scheduler bugs",improving non-functional requirements
bug 11675: fixed error messages,bug fixing
SelectBox: maxListCount off-by-one bug quick fix,bug fixing
bug 10790: cloudStack - volume page - Hide Storage for normal user. Show storage for root admin and domain admin.,commits that belong to no category
CLOUDSTACK-7684: Fixed Exception not raised issue in secondary storage limits test suite test_ss_max_limits.py,bug fixing
Improved performance on iteration,improving non-functional requirements
[WFLY-5403] Remove duplicated naming-client module,commits that belong to no category
Add the Duplicate Workspace feature from the Edit menu,adding new features
"Reindex from remote

This adds a remote option to reindex that looks like

```
curl -POST 'localhost:9200/_reindex?pretty' -d'{
  ""source"": {
    ""remote"": {
      ""host"": ""http://otherhost:9200""
    },
    ""index"": ""target"",
    ""query"": {
      ""match"": {
        ""foo"": ""bar""
      }
    }
  },
  ""dest"": {
    ""index"": ""target""
  }
}'
```

This reindex has all of the features of local reindex:
* Using queries to filter what is copied
* Retry on rejection
* Throttle/rethottle
The big advantage of this version is that it goes over the HTTP API
which can be made backwards compatible.

Some things are different:

The query field is sent directly to the other node rather than parsed
on the coordinating node. This should allow it to support constructs
that are invalid on the coordinating node but are valid on the target
node. Mostly, that means old syntax.",adding new features
removed duplicate dependency; specify powermock version only once in parent POM,commits that belong to no category
change local FS underfsAddress to /; fix a bug in excluding prefix-matching paths,bug fixing
CLOUDSTACK-9711: Fixed error reporting while adding vpn user,bug fixing
"Initial commit for Module to compute metrics on queries

This is an initial squashed commit of the work on a new feature for query metrics
proposed in #18798.",adding new features
"CLOUDSTACK-7435: UI > instance page > assign instance to another account > fix an error ""TypeError: json.virtualmachine is undefined [Break On This Error] var item = json.virtualmachine.virtualmachine;"" that showed after the action is clicked.",bug fixing
Better way to fix the test failure.,bug fixing
Merge pull request #3798 from mateuszmackowiak/objc/fix/remove_interface_method_duplicate,commits that belong to no category
update create build introduce functionality behavior,adding new features
[TACHYON-1092] Fix failing unit tests,bug fixing
HIVE-756. Performance improvement for RCFile and ColumnarSerDe. (Ning Zhang via zshao),improving non-functional requirements
CLOUDSTACK-6181 Specify GB for the value of rootdisksize parameter. Add some Bytes/GB for log or exception messages. Fix Gb->GB.,bug fixing
bug 8514: Instance page - volume tab - Create Template dialog - fix a bug that OS dropdown was empty when 2nd time visiting Instance page.,bug fixing
Performance improvements for the Block constructor,improving non-functional requirements
"ROO-3: Enhancements to launch scripts to eliminate ROO_HOME variable requirement, and also ensure correct operation with spaces in path name. Tested successfully under Ubuntu 9.04 and Windows 2000 Server. Apple testing to follow.",improving non-functional requirements
Changed file autoset features to use the optimized find routine.,adding new features
adding an entry point for improved reusability.,improving non-functional requirements
bug 11255: cloudStack - IP address page - Create Firewall rule - fix a JavaScript syntax bug.,bug fixing
SONAR-3086 Improve usability of review forms,improving non-functional requirements
"Add ""UnixAdmin"" to featured list [ci skip]",adding new features
TFJ-688 retire feature specific rate limit status,adding new features
Improved performance on management of collections,improving non-functional requirements
[NancyFx] Fixed bug in the generation of enum models that were generated with compilation errors (#5910) (#5913),bug fixing
Removed C++ client from planned features,adding new features
bug 14076: Fix the exception scope,bug fixing
bug 6800: introducing a vm error state and fixing a couple of bugs introduced by the new networking model and around vm destroy,bug fixing
#394 one more spring boot example demo adavanced feature,adding new features
"HIVE-16969: Improvement performance of MapOperator for Parquet (Colin Ma, reviewed by Ferdinand Xu)",improving non-functional requirements
"modified the golf example to be clearer, and use features from Drools 4",adding new features
removed very old feature branche,adding new features
Add method getVolumeRelativeDirInSecStroage to fix compile error.,bug fixing
MAHOUT-492 - added InteractionValueEncoder for encoding interaction of two categorical features into feature vectors,adding new features
Add action item support to the feature demo.,adding new features
but 7309:  fix console proxy thumbnail disappearing problem. (merge from 2.2.beta1 branch to master branch),bug fixing
improved test performances for sq (reuse iConnection in DBUnits),improving non-functional requirements
Improved performance in query when 2 field are of the same class and no conversion is needed,improving non-functional requirements
HIVE-9278 : Cached expression feature broken in one case (Navis via Ashutosh Chauhan),adding new features
integrated the latest htmlunit to fix a possible ConcurrentModificationException,bug fixing
implementing update for forward to feature.,adding new features
new UI - global settings page - related UI change after API bug 6506 is fixed.,bug fixing
DATAJPA-1208 - Improved readability.,improving non-functional requirements
"whilst fixing the iso bug, i realized that the public isos werent being returned for the regular user when he tries to attach the iso to the running vm. adding a listpublicisos() method for a regular user, which will take care of the same",bug fixing
"CLOUDSTACK-4300: possible fix: cputune feature is only available after 0.9.0, so start vm can fail on rhel 6.1",bug fixing
[JAXRS-Spec|Resteasy|CXF] Issue 4315 - Fixed bug generating arrays of enums (#4582),bug fixing
"tried to fix kissfft, failed misserably :D",bug fixing
Small performance enhancement - notion of a skipping Iterator which can efficiently advance,improving non-functional requirements
Improved readability for /whitelist list. Addresses BUKKIT-772,improving non-functional requirements
SONAR-5912 improve IssuesBySeverity performance and memory consumption,improving non-functional requirements
"Resource metadata - fixed the bug in removeResourceDetail API - when ""key"" parameter was passed in, used to remove the details matching the key, for all the resources, not just the one defined by resource_id",bug fixing
fixed for issue #849(improved TypeRerence Performance) and #937,improving non-functional requirements
CLOUDSTACK-8423: [Xenserver] Improved the performance for processing of ClusterVMMetaDataSync command which can cause slowness in DB if there are huge number of VMs,improving non-functional requirements
TFJ-690 remove annotations feature,adding new features
CLOUDSTACK-4296: fix parameter setting error in listVirtualMachines command,bug fixing
improve jsonparser context testing,improving non-functional requirements
Performance improvements in HotRodDecoder and HotRodServer,improving non-functional requirements
Fixed #593: Python code failure caused by Model IDs with dots has been fixed,bug fixing
CS-15704: Fix wrong domain id setting of non-root domain,bug fixing
ssl feature added for client,adding new features
Moved HP Storage Container Metadata parsing to Swift since it's a standard Swift feature.,adding new features
remove warning for feature section (and preserve rendering),adding new features
[ALLUXIO-1911] Fix failing test,bug fixing
"appliance: fix Debian iso url, fixes failing Jenkins builds",bug fixing
HBASE-5001 Improve the performance of block cache keys (Lars H and J-D),improving non-functional requirements
"optimized OPerformanceStatisticManager#getSessionPerformanceStatistic, about +3k ops on single-thread index/cluster insert",improving non-functional requirements
Added JCache Near Cache feature explanation.,adding new features
Improved performance of Dijkstra and shortest path algorithms,improving non-functional requirements
ISPN-1276 Improve batching and transactional performance after profiling,improving non-functional requirements
Introduce a surprising performance improvement in DefaultRoboModule,improving non-functional requirements
CLOUDSTACK-5178: DeployVm from ISO fails. Fixed the creation of root,bug fixing
JBRULES-1999  Improve performance/configuration options of ChainedProperties use in StatelessSession.execute calls,improving non-functional requirements
Remove Validation and LDAP features,adding new features
"Add client-side encryption

The Java Cryptography Extension (JCE) has to be installed to use this feature.",adding new features
Merge pull request #1461 from pveentjer/improvement/maintenance-3.x/serializationbenchmarks,improving non-functional requirements
"CLOUDSTACK-6120: UI > listView widget > reorder list > drap to new position > fix a JS error ""map1 is undefined"".",bug fixing
"JabRef 2.0: feature to allow custom importers added
- added menu items and dialogs to manage custom importers
- added custom importers imports package
- added submenu for custom importers to main frame",adding new features
"cloudStack 3.0 new UI - listView widget - (1) remove default option ""All"".  (2) fix a bug that args.filterBy.kind got value from wrong dropdown when selectView dropdown and filterBy dropdown both exist on the same page.",bug fixing
"[GWT] Fix problem with logging, when app is not yet fully initialized (#4084)",bug fixing
CLOUDSTACK-7281: Fix error in debug line,bug fixing
Remove image Options feature.,adding new features
Better German translation for new feature pref,adding new features
Removing a duplicate file.,commits that belong to no category
Minor: improved readability and speed by reducing the scope of variable in some hot points,improving non-functional requirements
HDFS-8133. Improve readability of deleted block check (Daryn Sharp via Colin P. McCabe),improving non-functional requirements
improved digits parse performance,improving non-functional requirements
[JENKINS-31618] Fixed NoSuchMethodException in loginLink.jelly,bug fixing
[TACHYON-1129] Fix failling tests by a workaround in RemoteBlockOutStream,bug fixing
bug fixed for issue #849 . improved TypeRerence Performance.,improving non-functional requirements
1) Fix Console viewer CTRL key problem on Chrome browser,bug fixing
"More small code refactorings, minor performance improvements -- also fixed a bug in refresh-related code of Similarity implementations",improving non-functional requirements
Implemented Near Cache pre-loader feature.,adding new features
CLOUDSTACK-6379: UI > fix a bug that domain admin failed to be created when current login doesn't have visibility to root domain object.,bug fixing
various improvements and safeguards around path handling in FaunusVertex. Fixed an object reuse bug around paths as well.,improving non-functional requirements
performance improvement: only draw visible rectangles,improving non-functional requirements
CLOUDSTACK-3643: Fix wrong protocol type and test case sequence,bug fixing
Improved performance of tree map,improving non-functional requirements
Changelog for performance improvement.,improving non-functional requirements
performance improvement on restricted class check.,improving non-functional requirements
"Merge conflicts between authorization branch and master, fix failed cases",bug fixing
CloudStack - Add Network Dialog - fix a bug that & is missing between isShared parameter and isDefault parameter in createNetwork API call.,bug fixing
Calculator feature for Clojure passing,adding new features
added vm feature to savvis,adding new features
Minor performance improvement on the management page of group roles,improving non-functional requirements
"cloudstack 3.0 UI - autoscale - configure AutoScale - fix a bug when root-admin tried to update an AutoScale created by regular-user or domain-admin, users dropdown was not correctly populated (should be populated with users under owner account instead of users under current login account).",bug fixing
CLOUDSTACK-7143: fix a bug where a script file rename wasn't propagated to build.sh,bug fixing
SONAR-5528 Improve performance of syntax highlighting API,improving non-functional requirements
Testing improvements for com.hazelcast.monitor package.,improving non-functional requirements
Avoid duplicate aliases in TexturePacker2,commits that belong to no category
Test performance improvement by allowing multiple Hudsons to reuse classloaders.,improving non-functional requirements
CLOUDSTACK-5076: fix wrong bridge name in vm domain xml desc after upgrade from 4.0 or before to 4.2,bug fixing
clean code. fix bug in inputstream,bug fixing
Had to change the text we look for in the webdriver search features,adding new features
To fix the bugs in JournalTest over ufs-hdfs,bug fixing
"New scope checker feature.

The implementation is somewhat complex; if you're reading this please consider reading through the code to find some mistakes!

I'm considering moving this out to be a proper extension; for now it'll live in util.

git-svn-id: https://google-guice.googlecode.com/svn/trunk@1049 d779f126-a31b-0410-b53b-1d3aecad763e",adding new features
Added bleed setting to fix linear filtering with non-premultiplied alpha. Removed duplicate padding setting.,commits that belong to no category
Eliminate duplicated code in catch blocks,commits that belong to no category
